property_id,category_desc,area_ha
3709681,Dairy,0.002
3709682,Beef and Sheep,0.08
3709682,Dairy,0.002
3709714,Forestry,1.064
3709716,Forestry,0.049
3709716,Sheep,0.166
3709718,Sheep,2.209
3709719,Sheep,0.085
3709727,Beef and Sheep,0.41
3709727,Forestry,36.528
3709740,Forestry,1.865
3709744,Dairy,0.008
3709744,Sheep,0.69
3709749,Beef and Sheep,0.097
3709759,Sheep,0.001
3709767,Sheep,0.017
3709770,Beef and Sheep,0.433
3709770,Sheep,0.49
3709773,Forestry,0.102
3709783,Forestry,0.021
3709783,Sheep,0.127
3709784,Beef and Sheep,0.152
3709790,Forestry,0.025
3709797,Beef and Sheep,0.1
3709797,Forestry,6.88
3709801,Sheep,0.007
3709814,Beef and Sheep,0.057
3709821,Forestry,4.127
3709823,Beef and Sheep,0.12
3709833,Forestry,56.268
3709833,Sheep,12.848
3709838,Beef and Sheep,0.098
3709840,Beef and Sheep,0.041
3709849,Beef and Sheep,8.025
3709849,Forestry,0.364
3709863,Beef and Sheep,0.098
3709865,Forestry,5.596
3709870,Forestry,15.175
3709870,Sheep,0.013
3709879,Beef and Sheep,0.908
3709879,Forestry,0.335
3709892,Forestry,0.333
3709897,Beef and Sheep,0.257
3709899,Beef and Sheep,0.333
3709900,Beef and Sheep,0.295
3709918,Forestry,0.57
3709952,Sheep,0.003
3709955,Forestry,0.07
3709969,Sheep,0.051
3709977,Forestry,14.225
3709988,Beef and Sheep,0.08
3710004,Beef and Sheep,7.034
3710004,Forestry,0.053
3710004,Sheep,14.661
3710014,Beef and Sheep,0.35
3710014,Forestry,0.229
3710014,Sheep,0.228
3710043,Beef and Sheep,0.087
3710043,Sheep,2.284
3710052,Forestry,143.201
3710067,Forestry,0.05
3710071,Beef and Sheep,9.166
3710071,Forestry,3.225
3710071,Sheep,13.523
3710086,Beef and Sheep,0.526
3710087,Forestry,31.478
3710093,Beef and Sheep,1.028
3710098,Beef and Sheep,6.696
3710098,Forestry,4.309
3710098,Sheep,8.061
3710107,Forestry,13.948
3710117,Beef and Sheep,0.014
3710122,Sheep,0.003
3710131,Sheep,0.065
3710133,Forestry,9.535
3710137,Sheep,0.206
3710162,Sheep,0.099
3710165,Orchard,15.485
3710165,Sheep,3.947
3710167,Sheep,1.107
3710169,Forestry,19.416
3710174,Sheep,0.129
3710177,Sheep,0.32
3710232,Forestry,18.344
3710234,Forestry,80.686
3710262,Forestry,0.062
3710267,Forestry,0.081
3710278,Forestry,0.019
3710289,Beef and Sheep,0.585
3710289,Forestry,0.274
3710305,Forestry,1.125
3710307,Sheep,2.674
3710318,Sheep,0.096
3710320,Sheep,0.101
3710345,Beef and Sheep,0.581
3710346,Beef and Sheep,0.004
3710353,Beef and Sheep,2.215
3710353,Forestry,2.572
3710353,Sheep,0.146
3710357,Forestry,0.876
3710360,Beef and Sheep,0.064
3710366,Beef and Sheep,0.35
3710369,Beef and Sheep,0.678
3710369,Forestry,0
3710369,Sheep,2.288
3710370,Beef and Sheep,0.598
3710374,Beef and Sheep,0.013
3710437,Beef and Sheep,0.382
3710442,Beef and Sheep,0.254
3710467,Sheep,0.141
3710495,Beef and Sheep,0.032
3710495,Forestry,114.575
3710495,Sheep,1.451
3710521,Sheep,0.088
3710526,Beef and Sheep,0.323
3710527,Dairy,30.284
3710527,Forestry,64.466
3710531,Beef and Sheep,1.173
3710537,Dairy,0.192
3710579,Beef and Sheep,5.205
3710579,Sheep,1.969
3710580,Dairy,1.381
3710593,Beef and Sheep,1.586
3710645,Beef and Sheep,34.856
3710645,Forestry,0.204
3710645,Sheep,1.284
3710646,Beef and Sheep,0.027
3710682,Forestry,0.041
3710684,Beef and Sheep,0.989
3710688,Forestry,0.049
3710700,Beef and Sheep,1.195
3710700,Forestry,0.098
3710708,Beef and Sheep,0
3710708,Dairy,0.579
3710734,Beef and Sheep,1.185
3710738,Beef and Sheep,0.783
3710747,Sheep,128.331
3710753,Dairy,43.387
3710753,Forestry,10.949
3710761,Sheep,0.006
3710782,Beef and Sheep,2.526
3710782,Dairy,0.205
3710782,Forestry,83.635
3710782,Sheep,7.247
3710851,Dairy,3.845
3710851,Forestry,0.502
3710865,Dairy,2.658
3710866,Dairy,1.135
3710866,Forestry,0.42
3710872,Sheep,0.085
3710880,Beef and Sheep,4.214
3710880,Dairy,0.003
3710880,Forestry,14.368
3710893,Dairy,1.187
3710893,Forestry,2.793
3710895,Beef and Sheep,0.324
3710939,Forestry,0.138
3710952,Sheep,0.134
3710996,Dairy,5.354
3711137,Sheep,0.081
3711145,Beef and Sheep,5.417
3711145,Forestry,35.482
3711145,Sheep,1.999
3711162,Dairy,0.418
3711188,Forestry,0.583
3711273,Beef and Sheep,0.423
3711273,Dairy,13.6
3711363,Sheep,0.037
3711393,Beef and Sheep,3.402
3711393,Sheep,157.141
3711405,Beef and Sheep,1.12
3711405,Dairy,27.934
3711409,Dairy,0.025
3711415,Beef and Sheep,0.101
3711429,Beef and Sheep,0.016
3711429,Dairy,21.523
3711454,Beef and Sheep,0.136
3711457,Dairy,4.43
3711458,Forestry,30.192
3711463,Beef and Sheep,0.177
3711463,Forestry,20.126
3711463,Sheep,0.203
3711477,Sheep,0.001
3711482,Forestry,0.223
3711508,Dairy,0.614
3711519,Beef and Sheep,14.475
3711519,Cropping,11.11
3711519,Sheep,5.904
3711526,Sheep,0.072
3711527,Sheep,0.09
3711529,Sheep,0.078
3711531,Beef and Sheep,0.514
3711533,Beef and Sheep,0.079
3711536,Forestry,0.343
3711537,Beef and Sheep,0.687
3711538,Beef and Sheep,0.884
3711543,Beef and Sheep,0
3711549,Beef and Sheep,0.052
3711554,Sheep,0.04
3711565,Forestry,0.13
3711565,Sheep,0.753
3711576,Beef and Sheep,0.079
3711576,Dairy,4.594
3711577,Dairy,0.009
3711577,Forestry,45.022
3711606,Beef and Sheep,0.009
3711608,Forestry,0.227
3711613,Dairy,30.449
3711613,Forestry,0.648
3711630,Sheep,0.068
3711638,Beef and Sheep,0.008
3711638,Sheep,1.218
3711644,Forestry,18.54
3711683,Dairy,23.695
3711683,Forestry,5.906
3711723,Sheep,0.082
3711725,Beef and Sheep,0.001
3711766,Beef and Sheep,0.884
3711766,Dairy,0.369
3711766,Forestry,4.566
3711766,Sheep,0.745
3711789,Beef and Sheep,2.431
3711790,Forestry,62.17
3711814,Forestry,3.292
3711839,Dairy,0.131
3711869,Sheep,0.076
3711870,Sheep,0.093
3711942,Forestry,92.593
3712005,Beef and Sheep,1.964
3712005,Dairy,0.139
3712005,Forestry,53.74
3712014,Forestry,29.504
3712062,Dairy,63.135
3712065,Sheep,0
3712068,Sheep,0.002
3712069,Sheep,0.101
3712071,Sheep,0.101
3712081,Dairy,1.616
3712081,Forestry,1
3712096,Sheep,0.038
3712098,Sheep,0.037
3712127,Dairy,0.444
3712127,Forestry,30.863
3712142,Beef and Sheep,0.12
3712142,Dairy,0.263
3712160,Beef and Sheep,0.36
3712160,Dairy,19.905
3712160,Forestry,10.835
3712189,Sheep,1.166
3712223,Beef and Sheep,13.835
3712223,Forestry,3.099
3712223,Sheep,1.16
3712232,Beef and Sheep,0.021
3712232,Dairy,0.021
3712245,Forestry,2.3
3712268,Sheep,0.001
3712321,Sheep,0.984
3712332,Beef and Sheep,0.015
3712344,Dairy,11.989
3712348,Beef and Sheep,0.02
3712348,Dairy,30.427
3712348,Forestry,0.86
3712351,Dairy,1.885
3712383,Sheep,0.101
3712395,Beef and Sheep,0.104
3712401,Dairy,26.637
3712401,Forestry,17.984
3712403,Beef and Sheep,6.522
3712414,Beef and Sheep,0.04
3712414,Dairy,21.315
3712414,Forestry,1.223
3712431,Forestry,0.295
