"edge_id","trip_group_id","produce","flow_value"
2630,29,"Sheepmeat",51329
1096,4,"Beef",157796
1262,2,"Beef",286118
2399,9,"Sheepmeat",516331
2998,4,"Beef",366507
884,21,"Fruit",8687
1803,4,"Beef",523879
2060,3,"Beef",1748
2306,4,"Beef",1319
2554,25,"Veges",162984
3080,16,"Forestry",513481
1023,16,"Forestry",590315
1206,13,"Forestry",131588
903,10,"Sheepmeat",41696
2870,14,"Forestry",60195
801,14,"Forestry",248343
2398,9,"Sheepmeat",287485
2222,21,"Fruit",4323
3087,4,"Beef",127263
1307,8,"Sheepmeat",39569
2106,9,"Sheepmeat",2358562
1474,27,"Sheepmeat",420160
2787,9,"Sheepmeat",2902954
2926,10,"Sheepmeat",11335191
3039,8,"Sheepmeat",27337785
2402,11,"Forestry",434076
2967,24,"Veges",766245
580,19,"Fruit",227645
59,8,"Sheepmeat",2659
1806,15,"Forestry",384779
3132,2,"Beef",12381797
1898,9,"Sheepmeat",32046
1124,29,"Sheepmeat",124010
1676,8,"Sheepmeat",133245
2939,15,"Forestry",3327733
3145,11,"Forestry",3177321
443,9,"Sheepmeat",1689
2030,8,"Sheepmeat",49515
2583,3,"Beef",1156
915,26,"Veges",528979
670,3,"Beef",2291
1633,6,"Beef",5014
2901,24,"Veges",318661
1825,9,"Sheepmeat",750965
1429,25,"Veges",1099595
2778,11,"Forestry",324349
896,23,"Veges",2052305
1503,2,"Beef",123517
1097,12,"Forestry",186197
841,29,"Sheepmeat",998985
2799,27,"Sheepmeat",13188484
2126,29,"Sheepmeat",4204872
1224,25,"Veges",565834
1876,26,"Veges",470363
1581,13,"Forestry",242970
1678,9,"Sheepmeat",12244
2988,16,"Forestry",6676
1630,13,"Forestry",3942
1074,12,"Forestry",38004
1379,12,"Forestry",12101
1000,27,"Sheepmeat",2114875
1391,10,"Sheepmeat",294297
2831,22,"Fruit",43319
1217,24,"Veges",267408
3134,13,"Forestry",242970
1624,4,"Beef",113606
519,8,"Sheepmeat",89644
1863,14,"Forestry",2139
1056,13,"Forestry",54084
531,2,"Beef",340426
2496,26,"Veges",4987858
2724,16,"Forestry",6977617
866,20,"Fruit",23383
1030,28,"Sheepmeat",5440347
2415,16,"Forestry",1952
531,9,"Sheepmeat",804813
1585,29,"Sheepmeat",108967338
3007,26,"Veges",13034
691,12,"Forestry",2199
1023,15,"Forestry",41736
1059,10,"Sheepmeat",31002
1069,20,"Fruit",3334
916,2,"Beef",9456
1748,9,"Sheepmeat",160445
2339,4,"Beef",2473476
3043,22,"Fruit",143139
1369,3,"Beef",1711
962,10,"Sheepmeat",108162
1144,4,"Beef",30054
2233,10,"Sheepmeat",559614
481,11,"Forestry",7096
928,22,"Fruit",5551
1876,2,"Beef",258294
922,1,"Dairy",6318043
2833,16,"Forestry",96828630
2403,27,"Sheepmeat",88937
2150,8,"Sheepmeat",1261353
1439,10,"Sheepmeat",4292
