"point_id","x","y"
48976,173.970006,-41.269004
48977,173.970167,-41.269096
48978,173.970348,-41.269163
48979,173.970546,-41.269161
48980,173.970716,-41.269081
48981,173.970869,-41.268981
48982,173.971059,-41.268935
48983,173.971258,-41.268952
48984,173.971448,-41.269004
48985,173.971639,-41.269054
48986,173.97184,-41.26906
48987,173.972037,-41.269029
48988,173.972226,-41.268976
48989,173.97241,-41.268914
48990,173.972569,-41.26882
48991,173.972686,-41.268697
48992,173.972788,-41.268565
48993,173.972914,-41.268448
48994,173.973105,-41.268418
48995,173.973259,-41.268509
48996,173.973385,-41.268629
48997,173.97351,-41.268749
48998,173.973633,-41.26887
48999,173.973766,-41.268984
49000,173.973946,-41.269049
49001,173.974148,-41.269051
49002,173.974334,-41.269094
49003,173.974394,-41.269234
49004,173.974369,-41.269385
49005,173.974422,-41.269531
49006,173.974492,-41.269674
49007,173.974568,-41.269815
49008,173.974712,-41.269921
49009,173.974893,-41.269989
49010,173.975088,-41.270027
49011,173.975284,-41.270066
49012,173.975475,-41.270115
49013,173.975636,-41.270207
49014,173.975803,-41.270292
49015,173.975996,-41.270327
49016,173.97619,-41.270287
49017,173.976372,-41.270223
49018,173.976491,-41.270102
49019,173.97658,-41.269965
49020,173.976702,-41.269845
49021,173.976877,-41.269769
49022,173.977063,-41.26971
49023,173.97726,-41.269711
49024,173.977422,-41.269801
49025,173.97758,-41.269896
49026,173.97777,-41.269947
49027,173.977945,-41.270019
49028,173.978057,-41.270145
49029,173.978218,-41.270227
49030,173.97842,-41.270226
49031,173.978603,-41.270278
49032,173.978729,-41.270397
49033,173.978873,-41.270503
49034,173.979067,-41.270518
49035,173.979255,-41.270462
49036,173.979439,-41.2704
49037,173.979565,-41.270287
49038,173.979542,-41.270137
49039,173.979497,-41.269989
49040,173.979474,-41.269837
49041,173.979441,-41.269687
49042,173.979381,-41.269542
49043,173.979286,-41.269408
49044,173.979125,-41.269319
49045,173.978959,-41.269235
49046,173.978883,-41.269095
49047,173.97888,-41.268943
49048,173.978907,-41.268792
49049,173.978915,-41.26864
49050,173.97895,-41.268492
49051,173.979056,-41.268362
49052,173.979093,-41.268215
49053,173.979048,-41.268067
49054,173.979001,-41.267919
49055,173.97902,-41.267769
49056,173.979158,-41.267663
49057,173.979356,-41.267658
49058,173.979553,-41.267694
49059,173.979746,-41.267738
49060,173.97994,-41.267781
49061,173.980136,-41.267816
49062,173.980337,-41.267812
49063,173.980515,-41.267741
49064,173.980646,-41.267627
49065,173.980733,-41.267489
49066,173.98079,-41.267343
49067,173.980842,-41.267196
49068,173.980924,-41.267057
49069,173.981031,-41.266927
49070,173.981161,-41.26681
49071,173.981315,-41.266714
49072,173.981509,-41.266689
49073,173.981695,-41.266747
49074,173.981839,-41.266851
49075,173.981928,-41.266988
49076,173.981976,-41.267136
49077,173.982053,-41.267276
49078,173.982168,-41.2674
49079,173.982314,-41.267506
49080,173.982475,-41.267597
49081,173.982665,-41.267602
49082,173.982773,-41.267475
49083,173.982891,-41.267353
49084,173.983071,-41.267286
49085,173.983261,-41.267235
49086,173.983459,-41.267239
49087,173.983618,-41.267331
49088,173.983778,-41.267424
49089,173.983945,-41.267511
49090,173.984078,-41.267624
49091,173.984213,-41.267737
49092,173.984368,-41.267834
49093,173.984559,-41.267855
49094,173.984687,-41.267743
49095,173.984793,-41.267615
49096,173.984972,-41.267546
49097,173.985086,-41.267426
49098,173.98511,-41.267275
49099,173.985112,-41.267123
