"segment_id","leg_name","start_pc","end_pc"
2395,"Bike","0.11269","0.11291"
2396,"Bike","0.11291","0.11314"
2397,"Bike","0.11314","0.11336"
2398,"Bike","0.11336","0.11358"
2399,"Bike","0.11358","0.11381"
2400,"Bike","0.11381","0.11403"
2401,"Bike","0.11403","0.11425"
2402,"Bike","0.11425","0.11447"
2403,"Bike","0.11447","0.11469"
2404,"Bike","0.11469","0.11490"
2405,"Bike","0.11490","0.11511"
2406,"Bike","0.11511","0.11533"
2407,"Bike","0.11533","0.11554"
2408,"Bike","0.11554","0.11575"
2409,"Bike","0.11575","0.11595"
2410,"Bike","0.11595","0.11617"
2411,"Bike","0.11617","0.11634"
2412,"Bike","0.11634","0.11652"
2413,"Bike","0.11652","0.11670"
2414,"Bike","0.11670","0.11689"
2415,"Bike","0.11689","0.11706"
2416,"Bike","0.11706","0.11726"
2417,"Bike","0.11726","0.11746"
2418,"Bike","0.11746","0.11766"
2419,"Bike","0.11766","0.11785"
2420,"Bike","0.11785","0.11807"
2421,"Bike","0.11807","0.11828"
2422,"Bike","0.11828","0.11848"
2423,"Bike","0.11848","0.11869"
2424,"Bike","0.11869","0.11891"
2425,"Bike","0.11891","0.11913"
2426,"Bike","0.11913","0.11934"
2427,"Bike","0.11934","0.11955"
2428,"Bike","0.11955","0.11976"
2429,"Bike","0.11976","0.11999"
2430,"Bike","0.11999","0.12020"
2431,"Bike","0.12020","0.12042"
2432,"Bike","0.12042","0.12064"
2433,"Bike","0.12064","0.12086"
2434,"Bike","0.12086","0.12108"
2435,"Bike","0.12108","0.12130"
2436,"Bike","0.12130","0.12151"
2437,"Bike","0.12151","0.12174"
2438,"Bike","0.12174","0.12195"
2439,"Bike","0.12195","0.12217"
2440,"Bike","0.12217","0.12239"
2441,"Bike","0.12239","0.12261"
2442,"Bike","0.12261","0.12283"
2443,"Bike","0.12283","0.12304"
2444,"Bike","0.12304","0.12325"
2445,"Bike","0.12325","0.12346"
2446,"Bike","0.12346","0.12368"
2447,"Bike","0.12368","0.12388"
2448,"Bike","0.12388","0.12408"
2449,"Bike","0.12408","0.12429"
2450,"Bike","0.12429","0.12449"
2451,"Bike","0.12449","0.12469"
2452,"Bike","0.12469","0.12491"
2453,"Bike","0.12491","0.12509"
2454,"Bike","0.12509","0.12530"
2455,"Bike","0.12530","0.12550"
2456,"Bike","0.12550","0.12570"
2457,"Bike","0.12570","0.12590"
2458,"Bike","0.12590","0.12609"
2459,"Bike","0.12609","0.12629"
2460,"Bike","0.12629","0.12648"
2461,"Bike","0.12648","0.12668"
2462,"Bike","0.12668","0.12688"
2463,"Bike","0.12688","0.12707"
2464,"Bike","0.12707","0.12727"
2465,"Bike","0.12727","0.12748"
2466,"Bike","0.12748","0.12767"
2467,"Bike","0.12767","0.12788"
2468,"Bike","0.12788","0.12807"
2469,"Bike","0.12807","0.12828"
2470,"Bike","0.12828","0.12848"
2471,"Bike","0.12848","0.12869"
2472,"Bike","0.12869","0.12891"
2473,"Bike","0.12891","0.12912"
2474,"Bike","0.12912","0.12932"
2475,"Bike","0.12932","0.12953"
2476,"Bike","0.12953","0.12974"
2477,"Bike","0.12974","0.12996"
2478,"Bike","0.12996","0.13018"
2479,"Bike","0.13018","0.13039"
2480,"Bike","0.13039","0.13062"
2481,"Bike","0.13062","0.13084"
2482,"Bike","0.13084","0.13105"
2483,"Bike","0.13105","0.13128"
2484,"Bike","0.13128","0.13150"
2485,"Bike","0.13150","0.13172"
2486,"Bike","0.13172","0.13195"
2487,"Bike","0.13195","0.13217"
2488,"Bike","0.13217","0.13239"
2489,"Bike","0.13239","0.13262"
2490,"Bike","0.13262","0.13284"
2491,"Bike","0.13284","0.13306"
2492,"Bike","0.13306","0.13329"
2493,"Bike","0.13329","0.13351"
2494,"Bike","0.13351","0.13373"
2495,"Bike","0.13373","0.13396"
2496,"Bike","0.13396","0.13418"
2497,"Bike","0.13418","0.13440"
2498,"Bike","0.13440","0.13462"
2499,"Bike","0.13462","0.13484"
2500,"Bike","0.13484","0.13506"
2501,"Bike","0.13506","0.13529"
2502,"Bike","0.13529","0.13551"
2503,"Bike","0.13551","0.13572"
2504,"Bike","0.13572","0.13596"
2505,"Bike","0.13596","0.13619"
2506,"Bike","0.13619","0.13642"
2507,"Bike","0.13642","0.13663"
2508,"Bike","0.13663","0.13686"
2509,"Bike","0.13686","0.13709"
